Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_22,Focus,22,1,1.0,-11.267163992840684,-11.909757074052827,-11.96970524726529,-12.750739154705599,-13.41268706416277
10,10_22,Focus,22,2,1.5,-10.935891875504291,-11.767596047357937,-12.108945874769754,-12.780522991397739,-13.394975994543412
10,10_22,Focus,22,3,2.0,-10.708056116822743,-11.86465912849065,-12.471017410758032,-12.827832073034338,-13.15220556752092
10,10_22,Focus,22,4,2.5,-11.110583879604077,-11.948846777029749,-12.201481985479456,-12.738862839206604,-13.341713139717504
10,10_22,Focus,22,5,3.0,-11.192389684753037,-11.967117658910254,-11.957129152946452,-12.424983185109808,-13.431258376045081
10,10_22,Focus,22,6,3.5,-11.245924567830315,-11.67178067292924,-12.294731687744878,-12.640037035852744,-13.427105704533327
10,10_22,Focus,22,7,4.0,-11.053613823660818,-12.161140510098237,-12.398129395946201,-12.74990181087126,-13.350625159700975
10,10_22,Focus,22,8,4.5,-11.194130893688607,-12.06769566720193,-12.52216558116039,-12.653372988625819,-13.323612524757554
10,10_23,Focus,23,0,0.5,-11.1341651124271,-11.882920324383656,-11.951909564198857,-12.83872822747078,-13.274755135219328
10,10_23,Focus,23,1,1.0,-11.271689583250232,-11.854978961084118,-12.20204076289522,-12.759082729905826,-13.256473265713645
10,10_23,Focus,23,2,1.5,-11.173791633337972,-11.976075777026859,-12.230103330484674,-12.664687006524504,-13.299060032057108
10,10_23,Focus,23,3,2.0,-11.110733076638901,-11.927819887239059,-12.136151097755322,-12.630167214686834,-13.333584009735548
10,10_23,Focus,23,4,2.5,-11.078622435928791,-12.021047844367743,-12.224867512416042,-12.793608474785888,-13.209487561191604
10,10_23,Focus,23,5,3.0,-11.270382948500826,-12.025828701607702,-12.260770401966576,-12.772337838002509,-13.337515435089811
10,10_23,Focus,23,6,3.5,-11.182883562737,-11.917315311432493,-11.814703637880143,-12.679234955761407,-13.367017359720306
10,10_23,Focus,23,7,4.0,-11.048781995023248,-11.921947938263852,-11.947676721942234,-12.657223275116896,-13.288273218118134
10,10_23,Focus,23,8,4.5,-11.47628532545232,-11.860829293131815,-12.264441946851388,-12.664368386729492,-13.321477396413508
